,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.2184459882097209,0.0,0.06365893678848748,0.0,0.0,0.0,0.07789956055973586,0.0,0.23603814350604674,0.0,0.24982324587292706,0.1541341250630819
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9867383951240376,0.0,0.0,0.0,0.0,0.0,0.013261604875962375,0.0,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.8557596822526299,0.0,0.0,0.0,0.021640768053237256,0.05570019694995203,0.0,0.0668993527441809,0.0,0.0
x34y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.8158288307186651,0.18417116928133487,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.8299205471553791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17007945284462087,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.5812405970611707,0.0,0.0,0.0,0.048146390382305386,0.0,0.0,0.3706130125565239,0.0,0.0,0.0,0.0
x6034y550,0.0,0.13237599341485753,0.8676240065851424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.11624071491443566,0.4903705686563028,0.0,0.0,0.03804063236560837,0.0,0.0,0.0,0.0,0.3553480840636533
x8034y550,0.0,0.9047490113720248,0.0,0.09525098862797526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.12261477848272963,0.0,0.6605647403637918,0.0,0.12725542726237185,0.0,0.0,0.0,0.0,0.0,0.0,0.0895650538911068
