,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.6564798072372365,0.0,0.0,0.0,0.0,0.0,0.12042727606358561,0.22309291669917788,0.0,0.0,0.0,0.0
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.8862183144318451,0.0,0.0,0.052601117743411724,0.0,0.0,0.0,0.0,0.061180567824743376,0.0,0.0,0.0
x1534y50,0.8206678012136924,0.1793321987863075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9584726990186943,0.0,0.0,0.0,0.0,0.0,0.04152730098130585,0.0,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.3653673170921981,0.0,0.2937261303935705,0.0,0.0,0.0,0.34090655251423135,0.0,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.5125278031737943,0.48747219682620563,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.7472875295847707,0.2003021025261679,0.0,0.05241036788906128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.36041736935413027,0.0,0.0,0.0,0.0,0.0,0.0,0.6395826306458697,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.009265401484062184,0.0,0.34225762288002387,0.16730060688275966,0.08570524854892055,0.0,0.0,0.031963522074230595,0.3635075981300032,0.0,0.0,0.0
x8034y550,0.0,0.7137357858932966,0.0,0.0,0.0,0.16606496324670642,0.12019925085999705,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,0.7977717534095377,0.0,0.0,0.0,0.0,0.20222824659046232,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.0,0.0,0.7141426699774652,0.0,0.15280600571776773,0.13305132430476693,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.48268285748731105,0.03240963236443125,0.0,0.294406116399873,0.0,0.0,0.1905013937483845,0.0
x10034y550,0.23874223675806275,0.0,0.5517415870422957,0.20951617619964155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.40585331047553647,0.5941466895244636,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
