"","celltype"
"F2S4_170323_026_C01","Astro"
"F2S4_160413_014_D01","Astro"
"F2S4_171120_019_G01","Astro"
"F2S4_170323_049_G01","Astro"
"F2S4_170320_001_H01","Astro"
"F2S4_171120_026_F01","Astro"
"F2S4_160901_004_G01","Astro"
"F2S4_160901_006_B01","Astro"
"F2S4_170323_052_H01","Astro"
"F2S4_170320_006_C01","Astro"
"F1S4_180124_313_E01","eL2/3"
"F2S4_160701_042_D01","eL2/3"
"F2S4_161129_003_A01","eL2/3"
"F2S4_160422_008_H01","eL2/3"
"F1S4_180124_314_E01","eL2/3"
"F2S4_160120_001_C01","eL2/3"
"F2S4_160329_003_E01","eL2/3"
"F2S4_160701_044_G01","eL2/3"
"F2S4_160129_026_A01","eL2/3"
"F2S4_170104_002_B01","eL2/3"
"F2S4_160426_022_E01","eL4"
"F2S4_170116_005_F01","eL4"
"F2S4_171120_010_E01","eL4"
"F2S4_160701_045_G01","eL4"
"F2S4_170126_006_D01","eL4"
"F2S4_160120_008_G01","eL4"
"F2S4_170516_007_A01","eL4"
"F2S4_170116_012_B01","eL4"
"F2S4_160127_007_E01","eL4"
"F2S4_170126_012_D01","eL4"
"F2S4_180110_053_G01","eL5"
"F2S4_160623_044_F01","eL5"
"F2S4_160426_006_F01","eL5"
"F2S4_160623_041_E01","eL5"
"F2S4_161103_004_E01","eL5"
"F2S4_170526_020_E01","eL5"
"F2S4_170105_011_B01","eL5"
"F2S4_160615_007_H01","eL5"
"F2S4_160328_013_A01","eL5"
"F2S4_180110_010_D01","eL5"
"F2S4_160818_007_D01","eL6"
"F2S4_160120_013_E01","eL6"
"F2S4_160120_021_E01","eL6"
"F2S4_160120_024_B01","eL6"
"F2S4_170203_023_A01","eL6"
"F2S4_160706_006_E01","eL6"
"F2S4_160129_010_G01","eL6"
"F2S4_160706_036_H01","eL6"
"F2S4_161207_022_F01","eL6"
"F2S4_160428_014_E01","eL6"
"F2S4_160405_016_H01","Endo"
"F2S4_160715_005_F01","Endo"
"F2S4_160715_005_D01","Endo"
"F2S4_160617_005_G01","Endo"
"F2S4_160715_008_E01","Endo"
"F2S4_160715_008_B01","Endo"
"F2S4_160718_006_B01","Endo"
"F1S4_180108_303_B01","Endo"
"F2S4_160405_010_E01","Endo"
"F2S4_160715_004_B01","Endo"
"F2S4_170323_003_G01","Micro"
"F2S4_170323_025_G01","Micro"
"F2S4_170323_052_F01","Micro"
"F2S4_170323_026_F01","Micro"
"F2S4_160824_054_C01","Micro"
"F2S4_170323_049_F01","Micro"
"F2S4_170323_035_F01","Micro"
"F2S4_170323_014_H01","Micro"
"F2S4_170323_018_F01","Micro"
"F2S4_170323_017_D01","Micro"
"F2S4_170323_027_D01","Oligo"
"F2S4_160129_015_B01","Oligo"
"F2S4_170323_049_E01","Oligo"
"F2S4_170323_026_D01","Oligo"
"F2S4_160126_009_D01","Oligo"
"F2S4_170323_028_B01","Oligo"
"F2S4_170323_010_D01","Oligo"
"F2S4_170323_037_H01","Oligo"
"F2S4_170323_040_A01","Oligo"
"F2S4_170323_025_A01","Oligo"
"F2S4_160404_024_B01","PVALB"
"F2S4_160331_002_D01","PVALB"
"F2S4_160413_014_E01","PVALB"
"F2S4_160805_008_C01","PVALB"
"F2S4_151223_008_D01","PVALB"
"F2S4_160811_001_G01","PVALB"
"F2S4_160826_003_B01","PVALB"
"F2S4_161010_011_C01","PVALB"
"F2S4_160805_001_A01","PVALB"
"F2S4_170406_016_B01","PVALB"
"F2S4_170320_001_E01","Smc"
"F2S4_170320_003_B01","Smc"
"F2S4_160901_011_F01","Smc"
"F2S4_160901_012_A01","Smc"
"F2S4_170320_004_B01","Smc"
"F2S4_160901_013_B01","Smc"
"F2S4_171129_007_G01","Smc"
"F2S4_170803_013_E01","Smc"
"F2S4_171129_007_B01","Smc"
"F2S4_160901_002_D01","Smc"
"F2S4_160419_016_B01","SST"
"F2S4_160727_004_C01","SST"
"F2S4_160129_017_G01","SST"
"F2S4_160114_018_C01","SST"
"F2S4_161010_016_E01","SST"
"F2S4_161010_011_H01","SST"
"F2S4_170803_002_G01","SST"
"F2S4_160404_038_H01","SST"
"F2S4_170526_003_F01","SST"
"F2S4_160429_005_A01","SST"
"F2S4_161017_025_F01","VIP"
"F2S4_161107_007_G01","VIP"
"F2S4_160128_001_C01","VIP"
"F2S4_160330_005_B01","VIP"
"F2S4_161017_019_F01","VIP"
"F2S4_160330_002_G01","VIP"
"F2S4_160404_021_C01","VIP"
"F2S4_170707_020_B01","VIP"
"F2S4_161017_021_D01","VIP"
"F2S4_160413_019_C01","VIP"
