"","celltype"
"Dat2_Cell_00250","Astro"
"Dat1_Cell_01324","Astro"
"Dat2_Cell_00360","Astro"
"Dat1_Cell_00617","Astro"
"Dat2_Cell_00684","Astro"
"Dat1_Cell_00778","eL2/3"
"Dat2_Cell_00854","eL2/3"
"Dat2_Cell_00748","eL2/3"
"Dat1_Cell_00696","eL2/3"
"Dat2_Cell_00345","eL2/3"
"Dat1_Cell_00373","eL4"
"Dat1_Cell_00789","eL4"
"Dat2_Cell_00190","eL4"
"Dat1_Cell_01181","eL4"
"Dat2_Cell_00677","eL4"
"Dat2_Cell_00767","eL5"
"Dat2_Cell_00463","eL5"
"Dat1_Cell_00814","eL5"
"Dat2_Cell_00216","eL5"
"Dat1_Cell_00601","eL5"
"Dat2_Cell_00766","eL6"
"Dat2_Cell_00702","eL6"
"Dat2_Cell_00729","eL6"
"Dat1_Cell_00220","eL6"
"Dat1_Cell_00620","eL6"
"Dat1_Cell_00218","Endo"
"Dat1_Cell_00374","Endo"
"Dat2_Cell_00643","Endo"
"Dat2_Cell_00007","Endo"
"Dat1_Cell_00851","Endo"
"Dat1_Cell_01007","Micro"
"Dat1_Cell_01105","Micro"
"Dat1_Cell_00656","Micro"
"Dat1_Cell_00994","Micro"
"Dat1_Cell_01365","Micro"
"Dat2_Cell_00065","Oligo"
"Dat1_Cell_00146","Oligo"
"Dat1_Cell_01194","Oligo"
"Dat1_Cell_00461","Oligo"
"Dat1_Cell_00266","Oligo"
"Dat1_Cell_00690","PVALB"
"Dat2_Cell_00198","PVALB"
"Dat1_Cell_00052","PVALB"
"Dat2_Cell_00592","PVALB"
"Dat2_Cell_00687","PVALB"
"Dat2_Cell_00769","Smc"
"Dat1_Cell_01280","Smc"
"Dat2_Cell_00346","Smc"
"Dat2_Cell_00771","Smc"
"Dat2_Cell_00013","Smc"
"Dat1_Cell_01044","SST"
"Dat1_Cell_00143","SST"
"Dat1_Cell_00701","SST"
"Dat1_Cell_00447","SST"
"Dat2_Cell_00224","SST"
"Dat2_Cell_00047","VIP"
"Dat2_Cell_00454","VIP"
"Dat2_Cell_00406","VIP"
"Dat2_Cell_00008","VIP"
"Dat2_Cell_00236","VIP"
