"","nCell"
"x34y50",6
"x534y50",3
"x1034y50",3
"x1534y50",3
"x2034y50",3
"x3034y50",3
"x34y550",3
"x534y550",3
"x1534y550",3
"x2534y550",3
"x4534y550",3
"x5534y550",6
"x6034y550",3
"x7034y550",3
"x8034y550",3
"x8534y550",3
"x9034y550",6
"x9534y550",3
"x10034y550",9
"x34y1050",3
"x1034y1050",3
"x1534y1050",3
"x2034y1050",3
"x3034y1050",3
"x3534y1050",6
"x4534y1050",15
"x5034y1050",6
"x5534y1050",3
"x7034y1050",6
"x7534y1050",6
"x8034y1050",12
"x8534y1050",6
"x9034y1050",18
"x9534y1050",3
"x10034y1050",6
"x10534y1050",9
"x34y1550",6
"x534y1550",6
"x1034y1550",6
"x2034y1550",6
"x4534y1550",21
"x5034y1550",15
"x5534y1550",15
"x6034y1550",12
"x6534y1550",9
"x7034y1550",6
"x7534y1550",9
"x8034y1550",9
"x8534y1550",9
"x9034y1550",12
"x9534y1550",6
"x10034y1550",6
"x10534y1550",12
"x34y2050",6
"x534y2050",6
"x1034y2050",18
"x1534y2050",9
"x5034y2050",9
"x5534y2050",12
"x6034y2050",12
"x6534y2050",3
"x7034y2050",3
"x7534y2050",6
"x8034y2050",12
"x8534y2050",12
"x9034y2050",3
"x9534y2050",9
"x10034y2050",21
"x10534y2050",9
"x34y2550",6
"x534y2550",24
"x1034y2550",12
"x1534y2550",18
"x2034y2550",6
"x2534y2550",9
"x3034y2550",6
"x4534y2550",6
"x5034y2550",3
"x5534y2550",3
"x6034y2550",12
"x6534y2550",9
"x7034y2550",6
"x7534y2550",12
"x8034y2550",3
"x8534y2550",9
"x9034y2550",3
"x9534y2550",6
"x10034y2550",9
"x10534y2550",9
"x34y3050",21
"x534y3050",6
"x1034y3050",6
"x1534y3050",24
"x2034y3050",12
"x2534y3050",12
"x3034y3050",6
"x3534y3050",6
"x4534y3050",18
"x5034y3050",6
"x5534y3050",9
"x6034y3050",6
"x6534y3050",6
"x7034y3050",9
"x7534y3050",12
"x8034y3050",9
"x8534y3050",6
"x9034y3050",15
"x9534y3050",6
"x10034y3050",12
"x10534y3050",9
"x34y3550",6
"x534y3550",15
"x1034y3550",6
"x1534y3550",15
"x2034y3550",21
"x2534y3550",18
"x3034y3550",9
"x3534y3550",3
"x4534y3550",15
"x5034y3550",12
"x5534y3550",15
"x6034y3550",9
"x6534y3550",15
"x7034y3550",15
"x7534y3550",18
"x8034y3550",9
"x8534y3550",9
"x9034y3550",9
"x9534y3550",15
"x10034y3550",12
"x10534y3550",12
"x34y4050",18
"x534y4050",9
"x1034y4050",9
"x1534y4050",15
"x2034y4050",3
"x2534y4050",12
"x3034y4050",18
"x3534y4050",9
"x4534y4050",9
"x5034y4050",21
"x5534y4050",12
"x6034y4050",6
"x6534y4050",21
"x7034y4050",9
"x7534y4050",12
"x8034y4050",27
"x8534y4050",12
"x9034y4050",9
"x9534y4050",12
"x10034y4050",18
"x10534y4050",21
"x34y4550",15
"x534y4550",15
"x1034y4550",15
"x1534y4550",15
"x2034y4550",12
"x2534y4550",15
"x3034y4550",15
"x4534y4550",18
"x5034y4550",18
"x5534y4550",15
"x6034y4550",15
"x7034y4550",12
"x8034y4550",9
"x8534y4550",6
"x9034y4550",12
"x9534y4550",15
"x10034y4550",15
"x10534y4550",6
"x34y5050",18
"x534y5050",9
"x1034y5050",15
"x1534y5050",9
"x2034y5050",15
"x2534y5050",15
"x3034y5050",15
"x3534y5050",6
"x4534y5050",12
"x5034y5050",15
"x5534y5050",15
"x6034y5050",12
"x6534y5050",9
"x7034y5050",6
"x7534y5050",12
"x8034y5050",6
"x8534y5050",6
"x9034y5050",12
"x9534y5050",9
"x10034y5050",12
"x10534y5050",6
"x34y5550",9
"x534y5550",6
"x1034y5550",6
"x1534y5550",6
"x2034y5550",12
"x2534y5550",21
"x3034y5550",12
"x3534y5550",9
"x4534y5550",9
"x5034y5550",9
"x5534y5550",12
"x6034y5550",9
"x6534y5550",9
"x7034y5550",3
"x7534y5550",9
"x8034y5550",3
"x8534y5550",9
"x9034y5550",9
"x9534y5550",6
"x10034y5550",6
"x34y6050",12
"x534y6050",6
"x1034y6050",6
"x1534y6050",18
"x2034y6050",12
"x2534y6050",12
"x3034y6050",18
"x3534y6050",12
"x4534y6050",9
"x5034y6050",9
"x5534y6050",18
"x6034y6050",6
"x6534y6050",3
"x7034y6050",9
"x7534y6050",6
"x8034y6050",15
"x8534y6050",18
"x9034y6050",12
"x9534y6050",15
"x10034y6050",6
"x10534y6050",12
"x534y6550",9
"x1034y6550",12
"x1534y6550",15
"x2034y6550",9
"x2534y6550",15
"x3034y6550",9
"x3534y6550",6
"x4534y6550",3
"x5034y6550",9
"x5534y6550",3
"x6034y6550",9
"x6534y6550",15
"x7034y6550",12
"x7534y6550",9
"x8034y6550",9
"x8534y6550",9
"x9034y6550",6
"x9534y6550",6
"x10034y6550",6
"x10534y6550",6
"x34y7050",9
"x534y7050",12
"x1034y7050",12
"x1534y7050",6
"x2034y7050",9
"x2534y7050",9
"x3034y7050",3
"x3534y7050",3
"x4534y7050",9
"x5034y7050",9
"x5534y7050",12
"x6034y7050",12
"x6534y7050",6
"x7034y7050",9
"x7534y7050",6
"x8034y7050",6
"x8534y7050",9
"x9034y7050",15
"x9534y7050",6
"x10034y7050",6
"x10534y7050",9
"x34y7550",6
"x534y7550",15
"x1034y7550",12
"x1534y7550",12
"x2034y7550",12
"x2534y7550",6
"x3034y7550",3
"x3534y7550",9
"x4534y7550",3
"x5034y7550",6
"x5534y7550",9
"x6034y7550",9
"x6534y7550",3
"x7034y7550",12
"x7534y7550",3
"x8034y7550",18
"x8534y7550",12
"x9034y7550",3
"x9534y7550",9
"x10034y7550",3
"x10534y7550",9
"x34y8050",18
"x534y8050",9
"x1034y8050",9
"x1534y8050",9
"x2034y8050",15
"x2534y8050",15
"x3034y8050",9
"x4534y8050",12
"x5034y8050",12
"x5534y8050",12
"x6034y8050",9
"x6534y8050",6
"x7034y8050",9
"x7534y8050",15
"x8034y8050",12
"x8534y8050",12
"x9034y8050",9
"x9534y8050",15
"x10034y8050",12
"x10534y8050",9
"x34y8550",9
"x534y8550",9
"x1034y8550",12
"x1534y8550",9
"x2034y8550",9
"x2534y8550",18
"x3034y8550",9
"x4534y8550",9
"x5034y8550",12
"x5534y8550",9
"x6034y8550",9
"x6534y8550",9
"x7034y8550",18
"x7534y8550",12
"x8034y8550",12
"x8534y8550",18
"x9034y8550",12
"x9534y8550",24
"x10034y8550",12
"x10534y8550",9
"x34y9050",12
"x534y9050",15
"x1034y9050",12
"x1534y9050",9
"x2034y9050",9
"x2534y9050",21
"x3034y9050",3
"x4534y9050",15
"x5034y9050",3
"x5534y9050",15
"x6034y9050",21
"x6534y9050",18
"x7034y9050",9
"x7534y9050",15
"x8034y9050",18
"x8534y9050",15
