,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.011215973651760646,0.024048154399834716,0.03685915490852413,0.03082795260411021,0.0788108004763711,0.05184513660834668,0.07174693198176386,0.09136586951677336,0.0,0.0742269915356225,0.14071815342987534,0.3883348808870175
x534y50,0.6639156692440873,0.027426542014728786,0.020420197648135546,0.05018941422953455,0.07843506352936999,0.0,0.11631316121976072,0.019138642568428038,0.0,0.02416130954595525,0.0,0.0
x1034y50,0.7314661025223246,0.0,0.03227973249402768,0.030951953347045428,0.0,0.05562289955047458,0.09889762474489966,0.0,0.0,0.0,0.0,0.05078168734122806
x1534y50,0.7635195503617486,0.0,0.048185457094371435,0.029409750623105663,0.0,0.0,0.09099300334569456,0.036743778448337525,0.0,0.0,0.0,0.031148460126742307
x2034y50,0.7458686190203396,0.0,0.029524565223915607,0.01415133168245268,0.05366010689163417,0.038399656128642844,0.08898504953610435,0.0,0.007312613034072574,0.0,0.0,0.022098058482838107
x3034y50,0.007151408201694012,0.0,0.9539060150597968,0.002855556728117962,0.0,0.0,0.007666939975028695,0.007944495199025675,0.004406258209692638,0.01606932662664417,0.0,0.0
x34y550,0.07707836991681816,0.0,0.0,0.6042690822253244,0.0,0.10912311994289674,0.12100473301185075,0.03213709154618133,0.0,0.0,0.0,0.05638760335692864
x534y550,0.019977409633490085,0.018161452134815976,0.055012707226861725,0.027682798417438963,0.6625676992993704,0.0,0.046395865976900826,0.09675833324967849,0.0,0.02989215798248285,0.04355157607896087,0.0
x1534y550,0.009656460018001273,0.0,0.04023022951632119,0.03548423120451023,0.06186943481805484,0.17589933829046636,0.0219958835662039,0.6548644225864423,0.0,0.0,0.0,0.0
x2534y550,0.6757584214964482,0.01992239292107206,0.06355690496479081,0.026653287098722174,0.0,0.025200716530562637,0.11499752780122233,0.0,0.0,0.07391074918718184,0.0,0.0
x4534y550,0.8005932414081676,0.0,0.01071557909845404,0.042102335902063484,0.0,0.04620562720222,0.038157115390473735,0.019253404215380215,0.027826821739964036,0.01514587504327687,0.0,0.0
x5534y550,0.24066259305565058,0.014122981500896227,0.03470806721530792,0.030587503482939246,0.0,0.1693385138120423,0.03952265775993752,0.41472473737380505,0.0,0.056332945799421205,0.0,0.0
x6034y550,0.006169632054248229,0.010657702621552152,0.9143580293951026,0.013842163200560535,0.006514165850656635,0.010907267420901355,0.026524127924859305,0.0,0.0,0.005083820793406966,0.0,0.005943090738712161
x7034y550,0.008288503649084098,0.017250551181591994,0.015436064623539136,0.690601932348658,0.06438766365634997,0.11515419721867802,0.07791712884324747,0.0,0.010963958478851244,0.0,0.0,0.0
x8034y550,0.015056838497835201,0.9251171289231616,0.038386990141871025,0.006686050223054551,0.0,0.0,0.0,0.0,0.0,0.014752992214077528,0.0,0.0
x8534y550,1.1237053148763416e-08,0.0,0.9476637278492371,0.0,0.05233624967665664,0.0,0.0,0.0,0.0,0.0,1.1237053148763416e-08,0.0
x9034y550,0.011313644395304558,0.012558741621745069,0.3312860371539919,0.006592633830504709,0.42580188319934664,0.09395713028267269,0.052721106873990925,0.03718767680872703,0.0,0.028581145833716574,0.0,0.0
x9534y550,0.02259907512739441,0.02879740272294377,0.037387668682675256,0.020697223988311877,0.1130172811741669,0.0,0.043480776779105855,0.035714871376872855,0.06984137492658246,0.0987490975374104,0.2756307599892412,0.2540844676952952
x10034y550,0.20539835378939586,0.06410790607585914,0.33454037602184966,0.22487136668275076,0.0675417708955415,0.0,0.036821084151032704,0.0,0.0,0.031269256468183015,0.0,0.0354498859153872
x34y1050,0.0,0.010743509157302504,0.034667847509357114,0.004352915278233537,0.14811458291640578,0.5493996971032921,0.03194999383251849,0.1212903487990944,0.024042596369524813,0.0419758949620544,0.0,0.033462614072216824
x1034y1050,0.7407776134083204,0.024158219165833217,0.05339729965061517,0.027715287289554354,0.027776558959421837,0.0,0.08736416023083378,0.0,0.0,0.03881086129542121,0.0,0.0
x1534y1050,0.024147463456020805,0.026486800573229666,0.024686521025260373,0.019817294553666556,0.10396756793795729,0.0674831885587918,0.041285191309906086,0.05444586335931318,0.0,0.162034674745586,0.2784872227060232,0.197158211774245
x2034y1050,0.7574845857350176,0.0,0.029916402000949145,0.02018786752001241,0.0,0.0,0.10550033715776162,0.0,0.0,0.010247873950099535,0.0766629336361596,0.0
x3034y1050,0.007736235083830156,0.0,0.9152341938654615,0.015774995450512273,0.010940177752609918,0.0,0.03452049967369352,1.2219711465477118e-08,0.013614609023390399,0.0021792769307907873,0.0,0.0
x3534y1050,0.32125126978658064,0.37989381231010555,0.07360851906433356,0.03965732348038145,0.0,0.04209255787473766,0.11193462651917295,0.0,0.0,0.0,0.031561890964688276,0.0
x4534y1050,0.020293505860982816,0.1788932501143819,0.18954740926271893,0.027414407417154507,0.019433055175662437,0.08141459986206559,0.07758638421934153,0.03572853368112912,0.07267215408649073,0.03581739432261786,0.1495421871055744,0.11165711889188011
x5034y1050,0.1929183881575001,0.025878186107999624,0.07418414736426712,0.01555355128931326,0.06244852230513862,0.3504817939513383,0.07988782030566985,0.1012048121254884,0.06365992888474352,0.033782849508541005,0.0,0.0
x5534y1050,0.7599429000473837,0.0,0.026285758470516948,0.056967943184368715,0.0,0.04302322906286781,0.0568946869980589,0.014832715550298435,0.0124003890495923,0.01423608283721148,0.0,0.015416294799701585
x7034y1050,0.011870968227404962,0.02507777369957388,0.3519908123157429,0.012681686566883694,0.0,0.10395960449498676,0.017627720511142204,0.04141464328920828,0.05071379664589819,0.040272849600938354,0.21395493574885568,0.1304352088993651
x7534y1050,0.20797844600149037,0.04102537321152817,0.01977769605946758,0.03420325043425537,0.10411046356128624,0.08245049520000526,0.07164242644491765,0.028586078340003995,0.04347848224948819,0.0,0.07707440784141327,0.28967288065614394
x8034y1050,0.1847703706409019,0.04901722753275278,0.037372657474042725,0.037570765298831986,0.028945957464556884,0.07745792682706946,0.06993438671989649,0.08939470483471808,0.04993487454331084,0.05094034140166024,0.12309520018953476,0.20156558707272387
x8534y1050,0.055764655301214244,0.037798758292980905,0.019806827072491564,0.5453004804788315,0.05432062057715255,0.11381476811602013,0.09369525700551601,0.04383923403098794,0.0,0.010370734950823308,0.014772279469671277,0.010516384704310542
x9034y1050,0.22246179199856358,0.04380029559146096,0.03455717196911391,0.04859270438726454,0.08958259036721297,0.2627385954175096,0.09549510540367528,0.09821533090951647,0.015706410449617,0.05631867589989246,0.0,0.03253132760617334
x9534y1050,0.014254155648023039,0.0,0.016004246396940553,0.02185253461664279,0.13423322755817108,0.490225208598989,0.032526108715627895,0.18320349789139997,0.0,0.023421203473368967,0.0,0.08427981710083672
x10034y1050,0.30246630406223884,0.011700191610447622,0.4619608812215987,0.0174302500880751,0.0,0.0497874272146131,0.0746201363000408,0.057656510665862686,0.02437829883712319,0.0,0.0,0.0
x10534y1050,0.05965986131161453,0.03494314196523447,0.04335095520380776,0.5033943248167441,0.0,0.15124416803675833,0.0882953728393646,0.04358726494454268,0.0,0.023297177145673774,0.0,0.05222773373625984
x34y1550,0.038478416535368536,0.021594368601673627,0.038196444477068034,0.20283549751204671,0.02903968831334469,0.07987793380282851,0.062261954223817445,0.08411896669851247,0.10750953865979114,0.028402115777370025,0.17682449200725497,0.1308605833909239
x534y1550,0.3220913462857211,0.0218361019159889,0.05969787431375803,0.3198637815194243,0.0,0.10131610257402635,0.09403083410796957,0.05289790794548351,0.0,0.028266051337628204,0.0,0.0
x1034y1550,0.3697912255775317,0.020954798791687348,0.046990497595994093,0.29748728940271607,0.07266780177373205,0.032309776630905326,0.06080913194789286,0.05933402967865444,0.0,0.0,0.0,0.039655448600886115
x2034y1550,0.0542247819770697,0.383022671650333,0.02119747251537276,0.29518622142509443,0.03592944092660515,0.025150035823819146,0.11951907041226002,0.024504649432512095,0.0,0.011847453931438169,0.01577053182195195,0.013647670083543617
x4534y1550,0.09084454366641373,0.04925107832474719,0.16145948848251543,0.09572983170787805,0.07090409997699286,0.14030411345319657,0.06797329753980502,0.08827268096845987,0.0414654679048008,0.11702162553836178,0.0767737724368287,0.0
