,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.030696631280432395,0.0,0.0,0.020966823948048365,0.0,0.0,0.0,0.0,0.06405847068810103,0.0,0.8842780740834183
x534y50,0.9906053315770902,0.0,0.0,0.0022285314093214224,0.0031134279780998956,0.0,0.0,0.0,0.0,0.004052709035488624,0.0,0.0
x1034y50,0.9629142602198459,0.0,0.0,0.0,0.0,0.0,0.011764357538885412,0.0,0.025321382241268665,0.0,0.0,0.0
x1534y50,0.9834359644759365,0.0,0.001414185863893308,0.0,0.0,0.0,0.0,0.004286007452319279,0.0,0.010863842207851032,0.0,0.0
x2034y50,0.963424209870148,0.003993283003098499,0.0,1.5400969024736728e-10,0.01854203227115071,0.0,0.0026619123750884197,0.0,0.0,0.0,0.0,0.011378562326504615
x3034y50,0.0,0.0,0.9999999997863369,2.1366307469257798e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.011314804495499991,0.0,0.0,0.9683230230059418,0.0,0.0,0.0,0.0,0.0,0.020362172498558234,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.995665601997512,0.0,0.004334398002488046,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.9392215534956484,0.0,0.0,0.0,0.0,0.0,0.013175626986573133,0.0,0.047602819517778505,0.0,0.0,0.0
x4534y550,0.9893784636959608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010621536304039225,0.0,0.0,0.0
x5534y550,0.2539616901469099,0.0,0.0,0.0,0.0,0.0,0.0,0.7460383098530902,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0038122117811672574,0.9781288580244611,0.0,0.0,0.0,0.018058930194371485,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.0,0.9999999998192352,1.8076486392333806e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.2859599672581959,0.0,0.6972283687760199,0.013603845681406703,0.0032078182843774724,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3106485917909783,0.21127392184228622,0.4780774863667355
x10034y550,0.25590239723949365,0.0,0.3443251321128852,0.3997724706476211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381616658750729,0.0,0.618383341249271
x2034y1050,0.9851892263861988,0.0,0.0,0.0,0.0,0.0,0.014810773613801212,0.0,0.0,0.0,0.0,0.0
x3034y1050,2.064434925643763e-10,0.0,0.9999999997935565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.5080621800365347,0.49193781996346536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.25695308337667017,0.2881307164239774,0.0,0.013454771521041521,0.0,0.0,0.0,0.0,0.2925037579141937,0.0,0.1489576707641172
x5034y1050,0.1939506686596268,0.0,0.0,0.0,0.0,0.8039900588164585,0.002059272523914745,0.0,0.0,0.0,0.0,0.0
x5534y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.31446342436533903,0.0,0.0,0.0,0.0,0.0,0.0,0.26243860642296896,0.15730205209158415,0.2657959171201079
x7534y1050,0.39971713363647743,0.031580246850355195,0.0,0.0,0.031300369503472814,0.0,0.0,0.0,0.0,0.0,0.0,0.5374022500096943
x8034y1050,0.3574779173892713,0.0,0.0,0.0,0.0,0.0,0.0,0.02784342735582117,0.0,0.10615707871867817,0.0,0.5085215765362294
x8534y1050,0.0,0.0,0.0,0.8433248343369857,0.03288424347736195,0.01722246975145782,0.06945344300206918,0.01944539735755728,0.0,0.0,0.017669612074568172,0.0
x9034y1050,0.3697166139791475,0.0,0.0,0.0,0.0,0.5532277039777614,0.07705568204309098,0.0,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0,0.0,0.0,0.0,0.9126779505547061,0.0,0.08732204944529383,0.0,0.0,0.0,0.0
x10034y1050,0.5795922035787265,0.0,0.4204077964212734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.0,0.0,0.0,0.9614233629572976,0.0,0.028043233959350683,0.010533403083351663,0.0,0.0,0.0,0.0,0.0
x34y1550,0.0,0.0,0.0137826311270765,0.2158726255005062,0.0,0.0,0.0,0.0,0.0,0.0,0.16253876774220097,0.6078059756302162
x534y1550,0.43038072815146394,0.0,0.02295472870504351,0.5466645431434926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1550,0.5807695856392026,0.0,0.0,0.419230414184603,1.7619451239334546e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.45164017909837967,0.0,0.44128405502751755,0.0,0.0,0.10707576587410278,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.11163980979148093,0.0,0.29093979911214757,0.10457677147444094,0.0,0.35213195613829973,0.015758724444358926,0.0,0.0,0.12495293903927204,0.0,0.0
x5034y1550,0.37566751742604904,0.29332690582080334,0.24582290241614965,0.0,0.0,0.0,0.08518267433699793,0.0,0.0,0.0,0.0,0.0
x5534y1550,0.13338766617367445,0.0,0.0,0.08473479220786226,0.0,0.5095992689897928,0.05491285520823445,0.21736541742043616,0.0,0.0,0.0,0.0
x6034y1550,0.0,0.0,0.0,0.4232072244128857,0.011625649423150487,0.06540731849317667,0.05803753746349592,0.0,0.10932131218081159,0.0,0.0,0.3324009580264795
x6534y1550,0.3756204552036317,0.0,0.0,0.6188111060889585,0.0,0.0,0.0,0.0,0.005568438707409793,0.0,0.0,0.0
x7034y1550,0.0,0.0,0.013506983060056064,0.986493016939944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
