,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,2.0359329216071792e-10,0.0,0.0,0.0,0.04174427203725057,0.0,0.009028347342357452,0.021199723574898285,0.0,0.0,0.5645112896484145,0.36351636719348607
x534y50,0.90710792579674,0.08396546916199708,0.0,0.0,0.0,0.00892660504126285,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9813095271919852,0.0,0.0,0.0,0.0,0.0,0.0013818955976875483,0.004883711754946984,0.01242486545538047,0.0,0.0,0.0
x1534y50,0.9865906479023875,0.0,0.0,0.0,0.0,0.0,0.0,0.013409351758089185,0.0,3.3952337198555866e-10,0.0,0.0
x2034y50,0.9938029421084721,0.0,0.0,0.0,0.0,0.0,0.0,0.0038920676341438645,0.0,0.0,0.0,0.0023049902573841013
x3034y50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.986167450378345,0.011599988521440327,0.0,0.0,0.0,0.002232561100214645,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.9166056894021982,0.0,0.08339431033840938,2.593923805108401e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9280694948902406,0.0,0.07193050510975942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.22469379509181725,0.0,0.0,0.0,0.025313004769686835,0.0,0.002606491013993519,0.7289690863861641,0.00775087538606956,0.010666747352268682,0.0,0.0
x6034y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.01061896461363357,0.0,0.9893810353863663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.3290011348703707,0.0,0.6709988651296294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.012078364357705873,0.0,0.0,0.18273124529362755,0.0,0.11948063744396215,0.0,0.0,0.6857097529047044,0.0
x10034y550,0.34128084915693535,0.0,0.282489512387319,0.3762296384557457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
