,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.009566629736565916,0.0,0.010932293360226513,0.01901851246349421,0.07901337950252156,0.0,0.020203210804942574,0.03949962244345412,0.14267662040643586,0.16392470370852313,0.25873311386283077,0.2564319137110054
x534y50,0.6954686283589094,0.0,0.010187975807327812,0.03404768014283539,0.0,0.0,0.020800310921992454,0.0,0.08662928879657465,0.07976909960924834,0.0,0.07309701636311208
x1034y50,0.7205408602898111,0.0,0.00702147642888736,0.03453335403729714,0.032854497164334744,0.017078934887086387,0.021227414323342086,0.0,0.0,0.0,0.0,0.16674346286924116
x1534y50,0.7453934945873386,0.0,0.017366584908629894,0.029742330814680154,0.0,0.0,0.0232985323469089,0.0,0.0,0.0,0.18419905734244232,0.0
x2034y50,0.7087627252137348,0.0,0.004598207548138548,0.0,0.05222489639859112,0.0,0.020087832511888632,0.0,0.0,0.13217067318181305,0.0,0.08215566514583372
x3034y50,0.024956579771872097,0.0,0.7734228043105581,0.0,0.0,0.0,0.0,0.0,0.060943435144072695,0.0,0.14067718077349708,0.0
x34y550,0.053834253510737305,0.0,0.0,0.6875931309666281,0.07621888281050808,0.0,0.012744090848236146,0.036264421494693604,0.0,0.0,0.06917719263206262,0.06416802773713416
x534y550,0.017164217979187747,0.013719354435814502,0.016615820364891783,0.028920790399481845,0.6695131485195391,0.0,0.0,0.02843675840513708,0.0987467856411218,0.0650349076183249,0.0,0.06184821663650118
x1534y550,0.004302722550715151,0.0,0.008884697857085254,0.023730634276026803,0.1584509179543578,0.0,0.0,0.5038263398822467,0.0,0.11769193122840878,0.18311275625115958,0.0
x2534y550,0.6929930393468539,0.0,0.019075072933336205,0.04771039189394714,0.0,0.0,0.02452279922524532,0.0,0.0,0.07921316903886284,0.13648552756175455,0.0
x4534y550,0.7274383984599072,0.0,0.008648321263952869,0.008861718357635072,0.07731028255220719,0.0,0.00786513433453223,0.0,0.08478687580813947,0.0,0.0,0.08508926922362604
x5534y550,0.20118169906301506,0.0,0.003510419621996558,0.029721635070121464,0.1634323035708186,0.04071270035155214,0.010228550821796837,0.2767415000895549,0.1017240947187711,0.09368642774325317,0.0,0.07906066894912009
x6034y550,0.017073617156930516,0.0,0.7909455634389867,0.028283146032553306,0.0,0.037670723373707554,0.0,0.0,0.0,0.0,0.07670081806463534,0.0493261319331866
x7034y550,0.011991956215279985,0.026387405403143535,0.0,0.7410871957391141,0.13787164303921345,0.0,0.0,0.0,0.0,0.0,0.0,0.08266179960324899
x8034y550,0.01720016434866765,0.8061683935816707,0.0,0.027048835122650102,0.04707706004826601,0.0,0.0,0.0,0.0,0.03187476093448544,0.07063078596426016,0.0
x8534y550,0.013515243816499501,0.0,0.8193457148202175,0.0,0.1259219925436762,0.0,0.0,0.0,0.0,0.0,0.0,0.041217048819606944
x9034y550,0.01887698557206098,0.0,0.16983603873171788,0.02843984527177334,0.5306170866259308,0.0,0.004837522763471292,0.0,0.11721500368440532,0.09725289892169395,0.0,0.03292461842894643
x9534y550,0.009428573149033857,0.0067184789745565274,0.008571428851279587,0.003670852716040374,0.10753913252186506,0.0,0.013183039460890016,0.0,0.12118235120756465,0.14506713270656574,0.4875111771346501,0.09712783327755416
x10034y550,0.212599549387569,0.0,0.1616693013204864,0.2203773282405611,0.11104992038442363,0.0,0.03231816719031901,0.0,0.03820709476317483,0.0,0.1633072799249264,0.06047135878853958
x34y1050,0.0,0.004675628919049398,0.007453520253949858,0.007502411772160878,0.1881445167424242,0.43508005917088816,0.0,0.03346493867319914,0.034017583364713895,0.09136387525784687,0.09101018021769516,0.10728728562807244
x1034y1050,0.7606524425161243,0.0,0.016902674118093573,0.01694691698456936,0.0691180413537534,0.0,0.0,0.0,0.13637992502745935,0.0,0.0,0.0
x1534y1050,0.01360545460055207,0.014546361175233793,0.005262828074906232,0.013916525085021178,0.10588462156526078,0.0,0.0,0.015400869191729501,0.0,0.23505169631094353,0.48050758217315304,0.11582406182319983
x2034y1050,0.7348744294675599,0.0,0.009747493592332176,0.026129748621054667,0.0,0.0,0.025232233930658945,0.0,0.0,0.12638030122244134,0.0,0.07763579316595294
x3034y1050,0.028506158388081595,0.0,0.7715800609516561,0.0348728386776521,0.026940297263144886,0.0,0.0,0.0,0.0,0.06825887360792213,0.06984177111154324,0.0
x3534y1050,0.37315913943118567,0.2321003544369945,0.013675641475561268,0.0416868097925505,0.0,0.0,0.08746264218777565,0.0,0.03636480696328461,0.1398496652968441,0.07570094041580372,0.0
x4534y1050,0.021384580732509918,0.06577871473464021,0.07554601384318661,0.03229907695137003,0.06169858870258908,0.07985151623551792,0.07049496507057297,0.017122234011072494,0.1837423264568367,0.10824145618285395,0.17076214398372985,0.11307838309512022
x5034y1050,0.1759267943339618,0.010018413577176163,0.030402716311775217,0.013316790255895126,0.1181377482636,0.29468279660638497,0.010098008436444265,0.03300374008924263,0.13393346741457993,0.11864132050137441,0.0,0.0618382042095655
x5534y1050,0.7478039295526276,0.0,0.00514586672612426,0.05153569473371052,0.0981878832636667,0.03912564846488059,0.0,0.017900080885749823,0.0,0.0,0.0,0.04030089637324037
x7034y1050,0.010313492972731441,0.0,0.16387386606416895,0.0177710186708689,0.08362599397128159,0.01992523939649445,0.012826919585564912,0.017425714950308504,0.094504700673528,0.1357976747997933,0.33320644761559626,0.11072893129966369
x7534y1050,0.17679657428926024,0.0,0.011345488387877693,0.02518681117283799,0.10250178416881665,0.0,0.033834969846581964,0.0,0.0916029263771504,0.06676380047231639,0.1647917274271617,0.327175917857997
x8034y1050,0.16062295970368595,0.0,0.012122736337260716,0.03651152440043625,0.09269755345921336,0.028442425703058376,0.0350744922691244,0.03445460041117248,0.1602332703537719,0.10419696427046891,0.20427096128238736,0.13137251180942036
x8534y1050,0.04373021856674595,0.012930412718870575,0.010352909061536538,0.5536683932660168,0.15282518125864544,0.05411646453291136,0.0,0.048727462164707365,0.0,0.12364895843056593,0.0,0.0
