"","celltype"
"x2_41_1_1_bc1285","Astro"
"x2_35_0_bc2305","Astro"
"x2_52_3_1_bc0750","Astro"
"x2_94_4_2_1_bc0900","Astro"
"x2_98_1_1_bc0432","Astro"
"x2_75_0_1_bc1255","Astro"
"x2_94_1_2_bc0639","Astro"
"x2_58_0_1_bc2006","Astro"
"x2_94_1_2_bc1981","Astro"
"x2_52_0_2_bc0838","Astro"
"x2_35_3_bc2001","Astro"
"x2_52_1_2_bc1345","Astro"
"x2_94_4_1_1_bc0795","Astro"
"x2_98_4_1_1_bc1791","Astro"
"x2_98_1_1_bc0630","Astro"
"x2_52_0_1_bc3053","Astro"
"x2_35_3_bc2709","Astro"
"x2_94_1_1_2_bc0704","Astro"
"x2_35_3_bc2562","Astro"
"x2_52_3_1_bc1771","Astro"
"x2_52_0_2_bc1533","Astro"
"x2_35_1_bc2064","Astro"
"x2_58_0_1_bc1144","Astro"
"x2_52_0_1_bc3231","Astro"
"x2_94_4_2_1_bc0473","Astro"
"x2_41_1_1_bc1386","Astro"
"x2_52_3_1_bc2159","Astro"
"x2_94_4_1_2_bc1662","Astro"
"x2_52_1_2_bc0702","Astro"
"x2_98_4_1_2_bc1036","Astro"
"x2_58_0_2_bc0643","Astro"
"x2_35_1_bc3605","Astro"
"x2_35_1_bc2554","Astro"
"x2_94_1_1_2_bc0249","Astro"
"x2_52_1_1_bc1044","Astro"
"x2_94_4_1_1_bc0620","Astro"
"x2_52_1_2_bc0838","Astro"
"x2_98_4_1_2_bc0265","Astro"
"x2_52_3_1_bc0896","Astro"
"x2_41_1_1_bc3016","Astro"
"x2_94_1_1_2_bc0301","Astro"
"x2_52_0_2_bc0461","Astro"
"x2_41_1_1_bc2413","Astro"
"x2_98_4_2_1_bc1463","Astro"
"x2_94_4_2_2_bc1160","Astro"
"x2_52_1_1_bc2219","Astro"
"x2_58_0_2_bc1036","Astro"
"x2_58_0_1_bc1495","Astro"
"x2_52_3_1_bc1038","Astro"
"x2_94_4_2_1_bc1030","Astro"
"x2_35_3_bc2518","Astro"
"x2_52_0_2_bc0799","Astro"
"x2_35_3_bc0318","Astro"
"x2_98_4_1_1_bc0849","Astro"
"x2_35_3_bc2363","Astro"
"x2_35_1_bc2319","Astro"
"x2_98_4_2_1_bc0424","Astro"
"x2_98_4_1_1_bc1997","Astro"
"x2_52_0_1_bc1956","Astro"
"x2_75_0_2_bc1269","Astro"
"x2_58_0_1_bc1727","Astro"
"x2_98_4_2_1_bc1175","Astro"
"x2_98_4_1_1_bc0475","Astro"
"x2_58_0_2_bc0871","Astro"
"x2_52_3_1_bc1509","Astro"
"x2_52_3_1_bc1248","Astro"
"x2_35_0_bc3182","Astro"
"x2_52_0_2_bc0447","Astro"
"x2_52_1_2_bc1322","Astro"
"x2_98_4_2_2_bc1928","Astro"
"x2_35_3_bc2599","Astro"
"x2_98_4_2_2_bc0621","Astro"
"x2_41_1_1_bc1137","Astro"
"x2_75_0_2_bc2092","Astro"
"x2_52_0_1_bc3388","Astro"
"x2_98_4_2_2_bc1976","Astro"
"x2_75_0_3_bc0372","Astro"
"x2_52_0_2_bc0523","Astro"
"x2_41_1_1_bc3534","Astro"
"x2_98_4_1_1_bc0494","Astro"
"x2_52_0_1_bc1138","Astro"
"x2_75_0_4_bc2314","Astro"
"x2_52_0_1_bc1661","Astro"
"x2_98_4_2_1_bc0222","Astro"
"x2_52_0_1_bc3010","Astro"
"x2_52_1_2_bc1930","Astro"
"x2_75_0_1_bc1614","Astro"
"x2_98_4_2_2_bc0411","Astro"
"x2_52_0_2_bc0510","Astro"
"x2_75_0_2_bc1429","Astro"
"x2_35_3_bc0852","Astro"
"x2_35_0_bc1105","Astro"
"x2_58_0_2_bc0565","Astro"
"x2_52_0_1_bc1103","Astro"
