,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.004987040492177956,0.0,0.003527064317102729,0.014234829947572367,0.0,0.0,0.0,0.0,0.1993291644034793,0.0,0.0,0.7779219008396676
x534y50,0.966267469967236,0.02331420054081703,0.0,0.0,0.0,0.0,0.01041832949194706,0.0,0.0,0.0,0.0,0.0
x1034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,0.9760451733076994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02395482669230062,0.0,0.0
x2034y50,0.9713808447895897,0.0,0.007730098077786347,0.0,0.0,0.0,0.0,0.020889057132623925,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9052462314189573,0.0,0.0,0.0,0.0,0.0,0.0,0.09475376858104274,0.0,0.0
x34y550,0.0,0.0,0.0,0.8067179885845596,0.09874583022670559,0.0,0.0,0.0,0.0,0.0,0.0,0.0945361811887348
x534y550,0.00556091754071086,0.0028454486272408482,0.0,0.007862072037665004,0.8216660610911578,0.0,0.0,0.0,0.16206550070322548,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8148998248313125,0.18510017516868757,0.0,0.0,0.0
x2534y550,0.9910197886605798,0.0,0.0,0.00898021133942017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9301293213687889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06987067863121112
x5534y550,0.32906032015984865,0.0,0.0,0.008805722314695803,0.0,0.10456619875875912,0.0,0.367166425424526,0.10062960279470054,0.0,0.08977173054746987,0.0
x6034y550,0.035400842146085805,0.016535512695442837,0.8243667521099104,0.017858955599536656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1058379374490243
x7034y550,0.027898216695778716,0.0,0.0,0.8134202352951444,0.0,0.0,0.0,0.0,0.0,0.00290499704187871,0.0,0.1557765509671983
x8034y550,0.0,0.9184007371259588,0.0,0.0197888747075852,0.0,0.0,0.0,0.0,0.0,0.0,0.06181038816645597,0.0
x8534y550,0.0,0.0,0.921252066215847,0.0,0.0,0.0,0.0,0.07874793378415305,0.0,0.0,0.0,0.0
x9034y550,0.009602906470612465,0.0,0.12237072100959416,0.017887300819033936,0.5990936066271617,0.0,0.0,0.0,0.0,0.11079114407582363,0.0,0.1402543209977742
x9534y550,0.0063905649279790986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14695532916477605,0.2915148164380717,0.5551392894691731,0.0
x10034y550,0.3938512315183878,0.0,0.16751145944856322,0.32905250132933417,0.0,0.0,0.0046539633724103305,0.0,0.0,0.0,0.08287225819845662,0.022058586132847845
x34y1050,0.0,0.0,0.0,0.0,0.0,0.7725557827860084,0.0,0.0,0.0,0.03191377500945344,0.0,0.1955304422045382
x1034y1050,0.9940098453987394,0.0,0.0,0.005990154601260625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
