,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.0022370162985077533,0.0018058768749513443,0.023311041572297537,0.0,0.0,0.0,0.0,0.18858316081518775,0.0,0.0,0.7840629044390556
x534y50,0.9889692175406656,0.0,0.007940133269404416,0.0,0.0,0.0,0.003090649189930081,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9520864364589559,0.015084855616804694,0.03282870792423946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,0.9733108647120786,0.0,0.005369404336912672,0.02131973095100878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9888804777653792,0.005247377951205083,0.005872144283415737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y50,0.0,0.005265573717722376,0.9683886905781431,0.0,0.0,0.0,0.0,0.026345735704134503,0.0,0.0,0.0,0.0
x34y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.01243169369591431,0.0,0.0,0.9875683063040858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.03514231910469989,0.0,0.004157271669780784,0.0,0.0,0.0,0.8196521894196926,0.0,0.14104821980582669,0.0,0.0
x2534y550,0.9341217734789603,0.055173342486067915,0.0024206838144060607,0.00828420022056569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9915535697965572,0.008446430203442847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.2603354943221458,0.0,0.0,0.0,0.0,0.0,0.05905808912788019,0.6667185119395019,0.0,0.0,0.0,0.013887904610472103
x6034y550,0.0194826293068903,0.0,0.9739351945419694,0.006582176151140358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.04701989523442932,0.9529801047655706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,0.9269850416331877,0.0,0.0,0.0,0.0,0.07301495836681224,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,0.9706168941699208,0.0,0.0,0.0,0.011359392336779508,0.01802371349329968,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.33300967076153015,0.0,0.6669903292384699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0019180851026021149,0.0022666629992003163,0.0,0.0,0.0,0.0,0.004186541292284521,0.0,0.0,0.3471182173527403,0.6445104932531728,0.0
x10034y550,0.22402980875040726,0.0,0.37357966440284257,0.28129802571378226,0.0,0.0,0.12109250113296802,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0023285000697064896,0.021915953261641037,0.0031875339857113847,0.0,0.0,0.972568012682941,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.07147624921851334,0.0,0.0,0.05648231926576388,0.0,0.0,0.23125173857239464,0.6407896929433282,0.0
x2034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.26986830742688195,0.4434671382031236,0.0,0.0,0.0,0.0,0.2866645541519937,0.0,0.0,0.0,2.1800067456417353e-10,0.0
x4534y1050,0.0,0.37351058340696236,0.06899291502621209,0.0,0.0,0.0,0.021699642848093267,0.0,0.11759961560981702,0.0,0.0,0.4181972431089152
x5034y1050,0.122793114162179,0.0,0.0,0.0,0.0,0.8741780098946449,0.0030288759431760003,0.0,0.0,0.0,0.0,0.0
x5534y1050,0.9952468555450384,0.0,0.002457888225601213,0.0,0.0,0.0,0.0022952562293604667,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.38104011918964165,0.0,0.017132424258469045,0.0,0.0,0.012017475608903734,0.0,0.0,0.0,0.5898099809429855
x7534y1050,0.33177544752411514,0.040199924598509316,0.0,0.09377142650586366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342532013715118
x8034y1050,0.23725821742977593,0.0,0.0,0.012281288911248491,0.0,0.0,0.04259487911063561,0.28125094251966615,0.1581795292048616,0.0,0.0,0.26843514282381226
x8534y1050,0.0,0.0,0.012266783657671917,0.9862753275539924,0.0,0.0,0.001457888788335696,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.36532089037925014,0.0025476486588654813,0.002914865633060746,0.0,0.0,0.6081886018273727,0.0028416375744851393,0.0181863559269658,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0036123900399143588,0.0,0.0,0.0,0.9093028417307494,0.038552901888559324,0.0,0.0,0.0,0.0,0.04853186634077682
x10034y1050,0.4111619370953577,0.0,0.5888380629046422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.019150069735886063,0.0,0.03964076543790979,0.9367820224740095,0.0,0.0,0.0,0.0,0.0,0.0044271423521946044,0.0,0.0
x34y1550,0.0,0.03819034455522623,0.05721382087674496,0.37744440962885295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5271514249391759
x534y1550,0.44174152987155146,0.0,0.0,0.5155301316636216,0.0,0.0,0.04272833846482693,0.0,0.0,0.0,0.0,0.0
x1034y1550,0.42092203143598456,0.0,0.0,0.5367542584503725,0.04232371011364291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.582711060303878,0.002060514641037677,0.3697555791537715,0.0,0.0,0.04547284590131289,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.06066552867144769,0.0,0.20775804336711737,0.0,0.0,0.4257491767356255,0.10322029928048368,0.14196785760471523,0.06063909434061056,0.0,0.0,0.0
x5034y1550,0.1976534838277642,0.16157613718586147,0.49652457148898144,0.0,0.0,0.0,0.14424580749739274,0.0,0.0,0.0,0.0,0.0
x5534y1550,0.04275516190266381,0.0,0.01407213090295686,0.048475883227217104,0.0,0.6137882751512548,0.08029615473040344,0.13721442283616575,0.0,0.0,0.0,0.0633979712493382
x6034y1550,0.0,0.0,0.011375666978560477,0.44419105532423675,0.025180707773073973,0.0,0.09484538890164772,0.0,0.07083112295206732,0.0,0.0,0.3535760580704137
x6534y1550,0.24265006717925522,0.0,0.07159336350083143,0.6857565693199134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1550,0.006861325727898683,0.0,0.0,0.8543589195214529,0.0,0.0,0.13877975475064835,0.0,0.0,0.0,0.0,0.0
x7534y1550,0.5439946152544568,0.0,0.10243391532428484,0.17761266993012842,0.0,0.006146764668083892,0.1698120348230461,0.0,0.0,0.0,0.0,0.0
x8034y1550,0.45578974778911835,0.417000921134075,0.062331219175117115,0.0,0.0,0.0,0.06487811190168954,0.0,0.0,0.0,0.0,0.0
x8534y1550,0.0,0.0,0.0,0.9844187331274318,0.013557245205477346,0.0,0.0020240216670907845,0.0,0.0,0.0,0.0,0.0
x9034y1550,0.459780191077131,0.0,0.06301603766052823,0.33592696377632014,0.0,0.0,0.058628086217829944,0.0826487212681908,0.0,0.0,0.0,0.0
x9534y1550,0.2434620982341921,0.0,0.05767814599695911,0.5556060250528843,0.022377490895432114,0.0,0.0,0.12087623982053246,0.0,0.0,0.0,0.0
x10034y1550,0.4698669852632056,0.0,0.008853910261180894,0.5091748911009996,0.0,0.0,0.01210421337461407,0.0,0.0,0.0,0.0,0.0
x10534y1550,0.0,0.0,0.15913424591774564,0.6400199306996923,0.0,0.0,0.196225075468729,0.004620747913833016,0.0,0.0,0.0,0.0
x34y2050,0.44305447276553434,0.0,0.0,0.5569455272344658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y2050,0.03933092142367265,0.0,0.15046779593292697,0.793380206224701,0.0,0.0,0.0,0.0,0.01682107641869938,0.0,0.0,0.0
x1034y2050,0.19606450713299597,0.0,0.0,0.08501391832906476,0.0,0.5424615735287,0.17646000100923928,0.0,0.0,0.0,0.0,0.0
x1534y2050,0.0,0.0,0.0020530176971247436,0.0014982623869882242,0.0,0.38221328151009404,0.0239630873820198,0.5902723510237731,0.0,0.0,0.0,0.0
x5034y2050,0.2506277223844077,0.0,0.12015878026222297,0.6292134973533692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y2050,0.0,0.05890725893963894,0.0,0.8669020792714247,0.0,0.0,0.07419066178893635,0.0,0.0,0.0,0.0,0.0
x6034y2050,0.22571530852930916,0.03531987347143023,0.0,0.7169492308737733,0.0,0.0,0.022015587125487495,0.0,0.0,0.0,0.0,0.0
x6534y2050,0.0,0.0,0.20545126206034164,0.7945487379396583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y2050,0.0442283240512254,0.4088859630590093,0.0,0.4910709182010381,0.0,0.0,0.0,0.02753410941235217,0.0,0.0,0.0,0.02828068527637506
x7534y2050,0.0,0.007425398018966628,0.0,0.9853399939175645,0.0,0.0,0.007234608063468911,0.0,0.0,0.0,0.0,0.0
x8034y2050,0.0,0.3937230421681961,0.005714543436315328,0.5218608882352272,0.0,0.0,0.07870152616026123,0.0,0.0,0.0,0.0,0.0
x8534y2050,0.3628213167058943,0.12270380820357851,0.13121421404702932,0.33199337390443395,0.0,0.0,0.044057534691811555,0.007209752447252421,0.0,0.0,0.0,0.0
x9034y2050,0.0,0.0,0.013548179852790916,0.95060525651849,0.0,0.0,0.035846563628718964,0.0,0.0,0.0,0.0,0.0
x9534y2050,0.0,0.0,0.2574147562411987,0.6831922535951112,0.02647618024704848,0.0,0.032916809916641546,0.0,0.0,0.0,0.0,0.0
x10034y2050,0.0,0.10261382140885164,0.011274058347383863,0.8524602260847612,0.0,0.0,0.026377568716787328,0.0,0.0,0.0,0.0,0.007274325442216169
x10534y2050,0.04887786903348136,0.0,0.07423058210414225,0.8489742388468741,0.0,0.0,0.027917310015502527,0.0,0.0,0.0,0.0,0.0
x34y2550,0.0,0.0,0.0701033724411418,0.9298966272633121,0.0,0.0,0.0,0.0,0.0,2.95546084531397e-10,0.0,0.0
x534y2550,0.0,0.0,0.3189566609267339,0.40622248139776224,0.0,0.04577655879449043,0.17893485230951534,0.05010944657149801,0.0,0.0,0.0,0.0
x1034y2550,0.0,0.0,0.07682585165932983,0.8182498862112975,0.0,0.0,0.10492426212937268,0.0,0.0,0.0,0.0,0.0
x1534y2550,0.0,0.2861102813221671,0.0037140891123311486,0.6789248679878173,0.0,0.0,0.03125076157768446,0.0,0.0,0.0,0.0,0.0
x2034y2550,0.0,0.016971496145923918,0.0693378621937265,0.8747644390933486,0.03892620256700101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2534y2550,0.0,0.20023559600793106,0.0,0.19373552749745643,0.0,0.0,0.0,0.0,0.26617485318095896,0.0,0.0,0.3398540233136536
x3034y2550,0.0,0.0,0.1487855762383297,0.0,0.0,0.0,0.0662610610471222,0.0,0.286405748449539,0.16843799604989879,0.0,0.33010961821511026
x4534y2550,0.0,0.006767528926692287,0.0066205423904037025,0.9812039022808743,0.0,0.0,0.0054080264020296975,0.0,0.0,0.0,0.0,0.0
