"","celltype"
"x2_35_3_bc1841","Astro"
"x2_75_0_3_bc1545","Astro"
"x2_52_0_1_bc2218","Astro"
"x2_75_0_4_bc2495","Astro"
"x2_41_1_1_bc1741","Astro"
"x2_75_0_2_bc0907","Astro"
"x2_52_0_2_bc0334","Astro"
"x2_35_1_bc1246","Astro"
"x2_58_0_1_bc3068","Astro"
"x2_94_1_2_bc0699","Astro"
"x2_52_3_1_bc1771","Astro"
"x2_58_0_1_bc3252","Astro"
"x2_35_1_bc3519","Astro"
"x2_35_3_bc2949","Astro"
"x2_98_1_1_bc1768","Astro"
"x2_35_1_bc1569","Astro"
"x2_41_1_1_bc3219","Astro"
"x2_58_0_1_bc1308","Astro"
"x2_94_4_2_1_bc0726","Astro"
"x2_41_1_1_bc2851","Astro"
"x2_35_0_bc1486","Astro"
"x2_35_3_bc2210","Astro"
"x2_35_3_bc0899","Astro"
"x2_35_3_bc1376","Astro"
"x2_35_1_bc2436","Astro"
"x2_98_1_1_bc0421","Astro"
"x2_98_4_2_1_bc0611","Astro"
"x2_58_0_1_bc2328","Astro"
"x2_94_1_1_1_bc0375","Astro"
"x2_52_1_1_bc1218","Astro"
"x2_52_1_1_bc1591","Astro"
"x2_98_4_2_1_bc0290","Astro"
"x2_52_0_2_bc0412","Astro"
"x2_75_0_2_bc1374","Astro"
"x2_41_1_1_bc1382","Astro"
"x2_52_0_1_bc2089","Astro"
"x2_52_3_2_bc1122","Astro"
"x2_52_0_1_bc1103","Astro"
"x2_52_0_2_bc1136","Astro"
"x2_41_1_1_bc1723","Astro"
"x2_98_4_2_1_bc1840","Astro"
"x2_75_0_1_bc1897","Astro"
"x2_98_4_2_1_bc2051","Astro"
"x2_58_0_2_bc0707","Astro"
"x2_75_0_2_bc1245","Astro"
"x2_98_4_2_1_bc0567","Astro"
"x2_75_0_1_bc1141","Astro"
"x2_35_3_bc2616","Astro"
"x2_52_0_2_bc0545","Astro"
"x2_52_0_1_bc1723","Astro"
"x2_52_0_2_bc0712","Astro"
"x2_52_1_1_bc1265","Astro"
"x2_94_4_1_1_bc0323","Astro"
"x2_94_1_2_bc1159","Astro"
"x2_41_1_1_bc2530","Astro"
"x2_35_1_bc2814","Astro"
"x2_98_4_2_2_bc0584","Astro"
"x2_35_3_bc2016","Astro"
"x2_94_4_1_1_bc0525","Astro"
"x2_35_0_bc1386","Astro"
"x2_94_4_2_2_bc0761","Astro"
"x2_94_4_2_2_bc1077","Astro"
"x2_98_4_1_2_bc0746","Astro"
"x2_94_1_2_bc1848","Astro"
"x2_98_4_2_1_bc1424","Astro"
"x2_35_3_bc2208","Astro"
"x2_35_3_bc1712","Astro"
"x2_41_1_1_bc3152","Astro"
"x2_94_4_1_2_bc0639","Astro"
"x2_58_0_1_bc1281","Astro"
"x2_94_4_2_1_bc0982","Astro"
"x2_41_1_1_bc2193","Astro"
"x2_75_0_4_bc1410","Astro"
