,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.00517605687626138,0.0,0.005992578775889961,0.020969436957675565,0.0,0.0,0.0,0.03924399742816579,0.1921272821100004,0.0,0.3871633825839722,0.34932726526803465
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9771178543686704,0.0,0.0,0.02288214563132953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9422385770602537,0.0,0.008920688571836073,0.0,0.0,0.0,0.0,0.04884073436791026,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9051375131385853,0.0,0.0,0.0,0.0,0.0,0.0,0.06704614572552314,0.0,0.02781634113589162
x34y550,0.0,0.0,0.0,0.959602186660775,0.04039781333922503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0059510790668488595,0.009558859359243107,0.0,0.008175687328340345,0.9763143742455677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.9567361100512604,0.018530512085700165,0.0,0.0,0.024733377863039543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9572786369005455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04272136309945449
x5534y550,0.3061914749643454,0.0,0.005382571942249785,0.0059814073096917724,0.04391574070371648,0.0,0.0,0.4536632129451752,0.0,0.0,0.18486559213482145,0.0
x6034y550,0.007969038958323352,0.007845028421068262,0.9841859190888776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3531730735410568e-08,0.0
x7034y550,0.006728419274684571,0.0,0.0,0.9690243780783693,0.0,0.0,0.0,0.0,0.024247202646946152,0.0,0.0,0.0
x8034y550,0.0,0.9489564510567889,0.0,0.0,0.05104354894321107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0106600114713842,0.0,0.2373158679745722,0.015307564415161724,0.6261984964616014,0.0,0.0,0.0,0.0,0.11051805967728044,0.0,0.0
x9534y550,0.006486271281061718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27398078132332604,0.49227676996223624,0.22725617743337598
x10034y550,0.3061899663728066,0.0,0.24672752751612964,0.32518395066726724,0.0,0.0,0.0,0.0,0.0,0.12189855544379655,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.0,0.893088062809292,0.004353179666359465,0.0,0.0,0.0,0.10255875752434855,0.0
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0037462202782413984,0.006929595026044728,0.0,0.0051693619727648825,0.0,0.0,0.0,0.0,0.0,0.40446288290241456,0.5796919398205345,0.0
x2034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.4819494327205447,0.24679150404759045,0.013230363334847109,0.0,0.0,0.0,0.22341067064821435,0.0,0.0,0.0,0.0,0.034618029248803424
x4534y1050,0.01247860705471347,0.1988615150504477,0.10280802642881942,0.01255637912273223,0.0,0.0,0.0,0.0,0.0,0.0,0.6732954723432872,0.0
x5034y1050,0.26912304989601576,0.0,0.0,0.0,0.0,0.5897199244118609,0.0,0.0,0.0,0.0,0.14115702569212335,0.0
x5534y1050,0.9239156121172991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07608438788270092,0.0,0.0
x7034y1050,0.0,0.005883907015572413,0.24842547924078556,0.0,0.0,0.0,0.0,0.0,0.10610517469484695,0.0,0.6395854390487951,0.0
x7534y1050,0.28884219839809605,0.005473024297641156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7056847773042628
x8034y1050,0.24210098923856344,0.0,0.0,0.021226884594150633,0.0,0.0,0.007236371623124819,0.0337770849370237,0.20875247576890038,0.0,0.486906193838237,0.0
x8534y1050,0.013836593298510178,0.0,0.0,0.9387060972023172,0.0,0.0,0.0,0.0,0.0,0.047457309499172644,0.0,0.0
x9034y1050,0.3699762890768928,0.022687013642394387,0.0,0.015618454878669153,0.0,0.43175368523468094,0.0,0.022546343871864376,0.13741821329549836,0.0,0.0,0.0
x9534y1050,0.0026719700997037622,0.0,0.0,0.0,0.0,0.8708003241772366,0.0,0.0,0.0,0.0,0.0,0.12652770572305974
x10034y1050,0.5011089941598378,0.0,0.44535523451883574,0.0,0.0,0.0,0.0,0.023998562645843963,0.0,0.0,0.029537208675482627,0.0
x10534y1050,0.010392700377641432,0.0,0.0,0.8597831835758509,0.025561215540699227,0.021827163806139555,0.027487855286086157,0.0,0.0,0.05494788141358269,0.0,0.0
x34y1550,0.0,0.0,0.0,0.348526149157102,0.0,0.0,0.0,0.0,0.20927916952397435,0.0,0.4421946813189237,0.0
x534y1550,0.48210485318920426,0.0,0.0,0.46829999114477083,0.049595155666024814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1550,0.4851153998307013,0.0,0.0,0.4772782062875614,0.0,0.0376063938817373,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.4301590981484768,0.011337238105830766,0.48734506660325977,0.0,0.0711585971424325,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.12363118583208195,0.0,0.07290703324680475,0.12492230683551002,0.09506311074022682,0.1391415648365183,0.0202196032522673,0.032550198646403114,0.10673297231213968,0.23702792279035653,0.0,0.047804101507691696
x5034y1550,0.30147261332621583,0.21707889274634143,0.29780072737578933,0.01792224550268914,0.0,0.0,0.0,0.0,0.16572552104896437,0.0,0.0,0.0
x5534y1550,0.09002846871377272,0.00937814716309463,0.01317691383197884,0.18587262473916008,0.1211057144244462,0.13633555730177668,0.0,0.023169360829050963,0.04834220897862815,0.1533893917330476,0.10422680243628364,0.11497480984876045
x6034y1550,0.01472285863876359,0.0,0.0,0.38293033538119503,0.04590156423918143,0.0,0.004965353274787288,0.0,0.20957356478164021,0.0,0.3419063236844324,0.0
x6534y1550,0.2596680926351245,0.015862448209665984,0.005389585554492295,0.5817089292533348,0.0,0.0,0.0,0.0,0.0,0.0,0.07362323071581975,0.0637477136315626
x7034y1550,0.045693901413229814,0.0,0.0,0.7476822259409133,0.0,0.0,0.0,0.0,0.0,0.0,0.20662387264585688,0.0
