,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.0,0.0,0.0,0.0,0.10221432622434182,0.0,0.17403774673865177,0.0,0.0,0.4852089837454564,0.23853894329155007
x534y50,0.9726086229363289,0.013624225595494005,0.006679327062054674,0.0,0.004642605024375728,0.0,0.0,0.002445219381746915,0.0,0.0,0.0,0.0
x1034y50,0.9936684080165842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006331591983415794
x1534y50,0.8794787171725853,0.0,0.08331244760623513,0.01586865929384933,0.021340175927330226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9461340393110657,0.0,0.017225629057315787,0.0,0.0,0.0,0.010895525319202886,0.025744806312415592,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9918396780891708,0.0,0.0,0.0,0.0,0.0,0.0042301951831890654,3.004765142119649e-10,3.004765142119649e-10,0.003930126126686968
x34y550,0.0,0.0,0.06910743417692095,0.9308925658230791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.006946648548115554,0.0,0.0,0.9776399290810038,0.0,0.01541342237088077,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.9923130761026364,0.0,0.0,0.0,0.0,0.0,0.0076869238973636,0.0,0.0,0.0,0.0,0.0
x4534y550,0.968401799733995,0.0,0.0,0.03006972422985009,0.0,0.0,0.0,0.0015284760361549989,0.0,0.0,0.0,0.0
x5534y550,0.20221277173669497,0.0,0.0,0.0,0.0,0.05193657825621458,0.0,0.7458506500070905,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.03211028390292372,0.9678897160970763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,0.9742703091292316,0.0,0.0,0.010211566627601379,0.015518124243167118,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.01034086829989964,0.0,0.9896591317001004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.37822314130787354,0.0,0.6217768586921265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.004258055945959965,0.0032129796400222326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14959296696656507,0.8429359974474526,0.0
